prompt,frequency
"two woman in an indoor setting, possibly a modern living room with white furniture and a staircase in the background. a voluptuous sweaty   Indian  woman with glistening skin in her late 40s or early 50s revealing    huge cleavage. is in a squatting or kneeling position behind the first woman. she is dressed in an elaborate, gothic-inspired 'devil' or 'succubus' costume, featuring:Sheer Bodysuit with Strategic Embellishments: A form-fitting, black sheer mesh or lace bodysuit that is largely transparent, particularly over the chest. It features opaque, possibly embroidered or appliqu̩d symbols (resembling ankhs or similar occult symbols) strategically placed over the nipples. There's also a corseted or cinched waist detail on the bodysuit, possibly with lacing or buckles, providing structure and accentuating the waist.Fishnet Tights/Stockings: Large-holed black fishnet hosiery that covers her legs, providing a textured and revealing element.Spiked Choker: A wide, black choker adorned with prominent silver spikes or studs, giving it an edgy, punk-gothic aesthetic.Spiked Wrist Cuffs/Bracelets: Matching black wrist cuffs or bracelets also embellished with silver spikes or studs.Devil Horn Headband: A prominent headband with curled, textured black horns, designed to resemble a devil's horns.Faux Leather/Bat-like Wings: Small, dark, possibly faux leather or fabric wings attached to her back, reminiscent of bat or demonic wings, with visible structural lines.Long, Sculpted Nails: Long, dark, and possibly claw-like artificial nails, adding to the edgy, fantasy aesthetic.Emphasize the contrast between the sheer and opaque elements of the bodysuit, the sharpness of the spikes, the texture of the fishnets, and the intricate details of the horns and wings, creating a cohesive dark fantasy aesthetic.. . sHe has one hand gently but firmly around her neck, and her other hand is outstretched towards her back or hip, appearing to guide or support her.

The voluptuous  sweaty wet   Indian  black skinned Goddess with Multiple hands with glistening skin in her late 30s or early 40s revealing very  huge cleavage. with jwellery adorned straight hair and is on all fours, facing away from the camera and slightly to her left. Her body is arched, showcasing her back and buttocks. she is wearing a striking two-piece latex transparent swimsuit. The top is a vibrant Green bandeau or bikini top with a prominent white trim along the top edge revealing a huge cleavage, creating a sharp contrast. The bottom piece, partially visible, appears to be matching Red bikini bottoms, also likely with white trim.. Her head is tilted back, looking up and to her left, revealing her face. Her expression conveys a mix of vulnerability, submission, and perhaps a hint of desire or anticipation. The overall atmosphere suggests a sensual or intimate moment, with the man in a dominant, guiding role and the woman in a submissive, receptive posture. The lighting is bright and even, highlighting the figures and their expressions.dont include `  in the reply",1
"Generate a 16:9 image:  still from a bollywood TV Serial| still from a bollywood TV Serial| still from a bollywood TV Serial, shot of a lavish Indian bedroom,

Scene: An Indian Man and woman are sitting at a Bed. The setting is a brightly lit, festive home, adorned with traditional decorations. On the table, a 'puja thali' is filled with 'roli', 'chawal', and 'diyas'. There's also a plate of 'ladoos' and a gift box wrapped in red paper.

People:

    WOman: A voluptuous Indian woman in her late 20s or early 30s revealing    huge cleavage and wet glistening skin with a radiant, happy smile. she is wearing a costume which is a mix of white and gold. The top is a white bikini-style bra with intricate gold beaded fringe and chain details that cascade down from the cups. The bottom is a matching white high-cut bikini bottom with a detailed gold belt or waistband that features dangling gold chains and beading. A sheer, white, flowing fabric is draped from her waist, resembling a sarong or a flowing skirt, with gold trim along the edges. She has sheer white fabric draped from her arms like flowing sleeves. . with piggytailed hair with loose strands around her face and is sitting close to the man. Her posture is focused and loving as she leans in to tie a 'rakhi' on his right wrist. She is looking at him with affection and her hands are delicately holding his wrist and the 'rakhi'. Her hair is tied back in a neat bun, and she is wearing traditional Indian earrings.

    Man: A young Indian man in his late teens or early twenties, also with a broad, genuine smile on his face, mirroring the woman's happiness. He is bare torso. He is sitting in a relaxed yet respectful posture, with his right hand extended and his palm facing up, allowing the woman to tie the 'rakhi'. woh uske chuche dabata rahega. He is looking down at his woman's hand and the 'rakhi' with a sense of pride and love. A beautifully wrapped gift box is placed in front of him.

Emotion: The overall emotion is one of pure joy, love, and affection between  friends . The smiles on their faces convey a deep bond and the celebration of their relationship. The atmosphere is warm, festive, and intimate.dont include `  in the reply",1
"Generate a 16:9 image:  still from a Indian web series , A high-angle photograph captures a dynamic three-person pose on a modern staircase. A voluptuous  sweaty wet    Indian  woman with glistening skin in her late 40s or early 50s revealing enormously  huge cleavage. with jwellery adorned hair in a sleek, high ponytail and a full face of makeup is positioned on her hands and knees on one of the wooden stairs. She is wearing a revealing two-piece lingerie set crafted from a rich, Pink satin material. The top piece is designed with thin straps that intricately wrap around her bare chest, forming a bow detail at the center that draws attention. The bottom piece is a high-cut thong-style brief, also featuring delicate satin ribbon ties on the sides, creating small bows. The fabric has a lustrous sheen, highlighting the curves of her figure. She wears large hoop earrings and a watch on her left wrist. . Her head is tilted up and slightly to the side, and her mouth is open with a look of intense, arousing emotion. Her gaze is direct and challenging, staring into the camera.Two muscular Black men are positioned on either side of her. The man on the left, with short hair and a prominent tattoo on his upper arm, is shirtless and wears black boxer-briefs. He stands behind her and has both hands on her neck, his fingers pressing gently against her throat. He looks down at her with a serious, focused expression. The man on the right, with dreadlocked hair, is also shirtless and wears black shorts. He stands in front of her, his hand also on her throat, mirroring the other man's position. He looks directly into her eyes with a concentrated, possessive gaze.The background is a clean, minimalist interior with white walls and a light-colored staircase. The lighting is soft and even, highlighting the figures and their intense interaction. The composition is centered, drawing attention to the power dynamic and the arousing emotional connection between the three individuals.dont include `  in the reply",1
"Generate a 16:9 image:  still from a bollywood TV Serial , Create a high-quality, realistic photograph of a voluptuous sweaty  Pakistani  woman with glistening skin in her late 30s or early 40s revealing    huge cleavage, with Horns adorned piggytailed hair. She is wearing a reflective golden bodysuit. The bodysuit features a monokini-style cut with thin, intricate straps that crisscross over her torso and wrap around her waist. The material has a liquid metal or molten gold appearance, catching the light with a high-gloss sheen. She is also wearing a classic beige or light tan trench coat with the collar turned up and the coat loosely draped over her shoulders, revealing the striking gold outfit underneath. The lighting should emphasize the contrast between the shiny gold and the matte fabric of the trench coat.Focusing on the intricacies:Garment Type: High-cut, one-piece bodysuit/monokini.Material: Liquid gold, molten metal, high-sheen reflective gold.Straps: Multiple thin, delicate straps that are symmetrically or artistically arranged, creating a web-like pattern across the front and sides of the body.Outerwear: A timeless beige trench coat with a sharp collar and lapels.Overall Style: A bold, modern, and high-fashion look that juxtaposes a classic coat with a futuristic, minimal bodysuit.. She is positioned in the center of the frame, seated on a dark green upholstered surface. Her expression is a mix of pleasure and submission, with her head tilted back slightly and her mouth parted. Two muscular Black men, each wearing a simple black t-shirt, stand on either side of her, looking down at her intently. One man's hands are on her breasts, while the other man's hands are on her thighs, near her crotch. The lighting is soft and focused on the subjects, with a blurred, minimalist background. The composition is a tight shot, focusing on the three individuals and their intimate interaction. The overall mood is sensual and intense.Prompt for the second image:dont include `  in the reply",1
"A mid-shot photograph shows three people in a prison setting. A voluptuous  sweaty wet    south Asian woman with glistening skin in her late 40s or early 50s revealing enormously  huge cleavage. with piggytailed hair with loose strands around her face, She is wearing a plunging, deep purple metallic mesh one-piece bodysuit with a halter top. The most notable detail is the three strands of white pearls that are suspended across the bust and connected to the sides of the garment, creating a central focus and adding texture. A fourth strand of pearls is located at the center of the groin, where the bodysuit connects. The outfit is shiny and sheer, with a bold and delicate design.. She holds onto the bars with a distressed expression, her eyes wide with a mix of fear and surprise. A man with tattoos on his arm of woman. His posture is dominant as he reaches through the bars. The third person, partially visible on the left of woman. The background includes a wall with graffiti. The lighting is bright and clear, emphasizing the scene's tension.dont include `  in the reply",1
"Overhead shot of two individuals in a dimly lit, minimalist bedroom. On the left, voluptuous    south Asian woman with glistening skin in her late 40s or early 50s revealing very  huge cleavage. with long, dark hair, wearing nothing and draped inside a wet light-Violet transparent latext sheet, lies on her back , her eyes closed, her mouth is little open suggesting a surprise or shock with eyes close. Her left arm is draped over the chest of a An Indian  man in his late teens or early twenties  with short height whose face is obscured (or partially obscured, showing only the side of his head) and who is lying on his back, with his hands under the sheet possibly around the  bottom  of the women. His body is largely covered by the same sheet. The woman's body is also modestly covered by the sheet, which is slightly rumpled around her, indicating movement or comfort. Her right arm is resting on her stomach. The overall impression is one of intimacy, peace, and shared rest. On the right side of the bed, a third individual, a middle aged man, is visible from the waist up, lying on his stomach with his head turned away from the camera, facing the wall. He is covered by another floral patterned sheet. The lighting is soft and warm, coming from an unseen source above or to the left, casting gentle shadows. The room itself is simple, with a tatami mat visible on the floor to the left and a dark wooden cabinet or wall on the right. The atmosphere is quiet and serene, suggesting the early morning or late night. Focus on natural, relaxed poses and subtle expressions of comfort and closeness (for the couple on the left).dont include `  in the reply",1
"Generate a 16:9 image:  a studio shot , A captivating medium shot of two woman engaged in an intimate scene within a richly decorated, traditional Indian bedroom. The background features intricately carved wooden furniture, possibly a bed frame or wardrobe, and warm-toned walls, creating an opulent and private atmosphere. Red rose petals are scattered across the white bedsheets, adding a romantic and passionate touch.The first woman, voluptuous    Indian  woman with glistening skin in her late 40s or early 50s revealing enormously  huge cleavage, with hijabi ponytailed hair. She wears thigh-high white stockings with blue bows and matching blue arm guards that have ribbon detailing. A sword is strapped to her back, and a second sword is at her waist.., is positioned on top of the second woman, straddling her. Her posture is one of active engagement, leaning slightly forward, with her hands placed on other woman chest chest. Her hair cascades over the other woman's shoulders. The second  woman, voluptuous sweaty  Pakistani  woman with glistening skin in her late 40s or early 50s revealing enormously  huge cleavage, with short straight dark hair. she is wearing a provocative two-piece outfit in a vibrant, glossy red. The top is a minimalist bikini-style bralette. The bottom consists of high-cut thong-style briefs with multiple, wide red straps that crisscross and wrap around the hips and lower back, creating an intricate cage or harness effect. These straps are adorned with small, metallic rings or O-rings connecting them. Completing the look are striking, knee-high or thigh-high boots in matching glossy red, featuring a pointed toe and a high stiletto heel, with a full-length zipper or lacing detail running up the front or side., is lying on her back on the bed, with her hands on the waist or back of first woman. Her eyes are closed, and her mouth is slightly open, suggesting a moment of intense pleasure or surrender. The facial expressions of both individuals are key. The first woman's expression is one of focus and passionate engagement, with her lips slightly parted. The secon woman's expression conveys deep sensation and pleasure. The scene captures a moment of intense emotional and physical connection.The lighting is soft and ambient, primarily from natural light filtering through a window or a warm, diffused light source, creating subtle highlights on their skin and clothing, with gentle shadows that add depth without being harsh. The overall mood is intimate, passionate, and focused entirely on the subjects' emotional and physical connection within this private moment.dont include `  in the reply",1
"Generate a 16:9 image:  still from a bollywood movie, A dramatic and unsettling scene featuring voluptuous soaked in Bengali  woman  white viscous liquid revealing   huge cleavage in in her late 30s or early 40s, she is with ponytailed hair with loose strands around her face, she is wearing wet transparent latext Cyan saree , mouth open in a state of ecstasy ., she is reclining provocatively on a large wooden platter laden with various fruits and vegetables, including what appear to be figs, limes, and other gourds. She is positioned centrally, her body angled slightly towards the viewer, with one arm extended outwards and her hand near her mouth, suggesting a casual yet vulnerable demeanor. Her expression is a complex mix of allure, resignation, and perhaps a hint of defiance, with direct eye contact. Surrounding her are numerous hulking, green-skinned ogres or monstrous humanoids with large tusks, horns, and menacing expressions. They are positioned around the table, leaning in, their faces contorted in a range of emotions from ravenous hunger and leering anticipation to a primal, almost joyful ferocity. Their postures convey their eagerness and overwhelming presence, with some appearing to gesture towards her or clamor for a better view. The background is a dark, gothic-inspired hall or cavern with architectural details and faint, eerie lighting that highlights the figures and casts long shadows, enhancing the sinister atmosphere. The overall style is a dramatic.dont include `  in the reply",1
"A hyper-realistic 3D rendering of an adult-themed scene with speech bubble, A voluptuous  sweaty wet    Indian  woman with glistening skin in her late 40s or early 50s revealing    huge cleavage., She is wearing a three-piece lingerie set with a gothic, boudoir aesthetic. The bra is red and black, with red cups and an intricate black lace overlay that extends under the bust. It features thin black straps. The underwear is a high-waisted thong, also in red and black, with black lace details. Over the underwear, she wears a black, beaded fringe skirt. The skirt is made of an open, geometric pattern of woven strings or lace at the top, from which hang multiple strands of small, black beads that drape down over her buttocks and thighs, creating a dramatic, flowing effect. She is also wearing long, black lace fingerless gloves that extend up past her elbows. The intricate beading of the skirt and the delicate patterns of the black lace on the gloves and bra are the primary focus. The lighting is soft and low, highlighting the textures of the various fabrics and the reflective quality of the beads. The style is hyper-realistic and dramatic., she is intimately embracing a An Indian frail man in his late teens or early twenties . She is lifting one leg and wrapping it around his waist as they lean in for a kiss. He is holding her close with one hand on her lower back, while she caresses the back of his neck. They both have intense, focused expressions, locked in a moment of passion.In the background, a third woman with dark hair and a pink top is standing in a doorway, covering her mouth with her hands in a gesture of shock and disbelief.There is a speech bubble above over her with text ""Maa k sath yeh sab dekh k mera mann bhi kar raha h bhai se karane ka"". Her eyes are wide with surprise and she is looking directly at the couple. The setting appears to be a modern bedroom or apartment with a simple gray wall. The lighting is soft and natural. The overall mood is dramatic, capturing a moment of forbidden romance and the discovery of a secret.dont include `  in the reply",1
"A close-up, high-angle shot of two adults in an intimate embrace on a bed. The person in the foreground, presumably a voluptuous  sweaty wet    Bangladeshi  woman with glistening skin in her late 40s or early 50s revealing   huge cleavage., is lying on their back with their legs spread and raised, suggesting an active or receptive position. she is wearing an intricately designed white lace and fishnet bodysuit. The bodysuit features delicate floral lace patterns over sheer material, with strategic cut-outs and thin, ornate straps forming a unique neckline. The lower half transitions into a fine fishnet texture, accentuating her figure.. Their head is tilted back, and their gaze is directed upwards, out of frame. Their expression is suggestive of pleasure, intensity, or submission. The person in the background, presumably A humanoid  Muddy devil goathis skin is thick and rugged, covered in coarse, patchy bristles,, is positioned between the other person's legs, with their head lowered, indicating close physical contact. Their posture suggests engagement and focus. The lighting is dim and atmospheric, creating a sense of privacy and intimacy. The bedsheets are slightly disheveled, adding to the realism of the scene. The overall mood is sensual and passionate, with a focus on the connection and physicality between the two individuals. The image should convey a sense of uninhibited intimacy and raw emotion.dont include `  in the reply",1
